"Dirección","Tipo de contenido","Código de respuesta","Respuesta","Indexabilidad","Estado de indexabilidad","Título 1","Longitud del título 1","Ancho de píxeles del título 1","Meta description 1","Longitud de la meta description 1","Ancho de píxeles de la meta description 1","Meta Keywords 1","Longitud de meta keywords 1","H1-1","Longitud de H1-1","H2-1","Longitud de H2-1","Meta robots 1","X-Robots-Tag 1","Meta Refresh 1","Elemento de enlace canónico 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Elemento de enlace amphtml","Tamaño (Bytes)","Transferido (Bytes)","Transferido en total (Bytes)","CO2 (mg)","Clasificación de huella de carbono","Recuento de palabras","Número de oraciones","Media de palabras por oración","Puntuación de facilidad de lectura de Flesch","Lectura","Proporción de texto","Nivel de profundidad","Profundidad de carpeta","Link Score","Enlaces internos","Enlaces internos únicos","Enlaces JS únicos","% del total","Enlaces salientes","Enlaces salientes únicos","Enlaces salientes JS únicos","Enlaces salientes externos","Enlaces salientes externos únicos","Enlaces salientes JS externos únicos","Coincidencia casi duplicada más cercana","Semiduplicados (N.º)","Errores ortográficos","Errores gramaticales","Hash","Tiempo de respuesta","Last Modified","URL de redirección","Tipo de redirección","Cookies","Language","Versión HTTP","Enlace alternativo móvil","Dirección semánticamente similar más cercana","Puntuación de similitud semántica","N.º semánticamente similares","Puntuación de relevancia semántica","Dirección codificada de URL","Marca temporal del rastreo"
"https://www.ciudadmayakoba.com/hubfs/Website/Aviso-Privacidad-OPLK.pdf?hsLang=es","application/pdf","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","all","","","","","","","","154797","154797","154797","22.941","","0","","","","","0.000","2","2","","55","55","0","49.550","0","0","0","0","0","0","","","","","","0.139","Wed, 25 Mar 2026 01:14:47 GMT","","","","","1.1","","","","","","https://www.ciudadmayakoba.com/hubfs/Website/Aviso-Privacidad-OPLK.pdf?hsLang=es","2026-09-17 12:26:42"
"https://www.ciudadmayakoba.com/hubfs/Website/Politica-Privacidad-OPLK.pdf?hsLang=es","application/pdf","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","all","","","","","","","","554156","554156","554156","82.126","","0","","","","","0.000","2","2","","65","65","0","58.560","0","0","0","0","0","0","","","","","","0.365","Wed, 25 Mar 2026 01:25:56 GMT","","","","","1.1","","","","","","https://www.ciudadmayakoba.com/hubfs/Website/Politica-Privacidad-OPLK.pdf?hsLang=es","2026-09-17 12:26:42"
"https://www.ciudadmayakoba.com/hubfs/Website/Politica-Privacidad-NTCA.pdf?hsLang=es","application/pdf","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","all","","","","","","","","364727","364727","364727","54.053","","0","","","","","0.000","4","2","","2","2","0","1.800","0","0","0","0","0","0","","","","","","0.821","Wed, 25 Mar 2026 01:25:55 GMT","","","","","1.1","","","","","","https://www.ciudadmayakoba.com/hubfs/Website/Politica-Privacidad-NTCA.pdf?hsLang=es","2026-09-17 12:26:48"
"https://www.ciudadmayakoba.com/hubfs/Website/Aviso-Privacidad-NTCA.pdf?hsLang=es","application/pdf","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","all","","","","","","","","165073","165073","165073","24.464","","0","","","","","0.000","4","2","","1","1","0","0.900","0","0","0","0","0","0","","","","","","0.576","Wed, 25 Mar 2026 01:14:47 GMT","","","","","1.1","","","","","","https://www.ciudadmayakoba.com/hubfs/Website/Aviso-Privacidad-NTCA.pdf?hsLang=es","2026-09-17 12:26:48"
"https://www.ciudadmayakoba.com/hubfs/Website/Aviso-Privacidad-CEIBA.pdf?hsLang=es","application/pdf","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","all","","","","","","","","164607","164607","164607","24.395","","0","","","","","0.000","4","2","","2","2","0","1.800","0","0","0","0","0","0","","","","","","0.281","Wed, 25 Mar 2026 01:14:47 GMT","","","","","1.1","","","","","","https://www.ciudadmayakoba.com/hubfs/Website/Aviso-Privacidad-CEIBA.pdf?hsLang=es","2026-09-17 12:26:50"
"https://www.ciudadmayakoba.com/hubfs/Website/Politica-Privacidad-CEIBA.pdf?hsLang=es","application/pdf","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","all","","","","","","","","380119","380119","380119","56.334","","0","","","","","0.000","4","2","","5","5","0","4.500","0","0","0","0","0","0","","","","","","0.472","Wed, 25 Mar 2026 01:25:55 GMT","","","","","1.1","","","","","","https://www.ciudadmayakoba.com/hubfs/Website/Politica-Privacidad-CEIBA.pdf?hsLang=es","2026-09-17 12:26:50"
"https://www.ciudadmayakoba.com/hubfs/Website/Aviso-Privacidad-TRAM.pdf?hsLang=es","application/pdf","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","all","","","","","","","","153192","153192","153192","22.703","","0","","","","","0.000","4","2","","1","1","0","0.900","0","0","0","0","0","0","","","","","","1.634","Wed, 25 Mar 2026 01:14:47 GMT","","","","","1.1","","","","","","https://www.ciudadmayakoba.com/hubfs/Website/Aviso-Privacidad-TRAM.pdf?hsLang=es","2026-09-17 12:26:52"
"https://www.ciudadmayakoba.com/hubfs/Website/Privacy-Notice-OPLK.pdf?hsLang=es","application/pdf","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","all","","","","","","","","207597","207597","207597","30.766","","0","","","","","0.000","4","2","","8","8","0","7.210","0","0","0","0","0","0","","","","","","0.879","Wed, 25 Mar 2026 01:14:48 GMT","","","","","1.1","","","","","","https://www.ciudadmayakoba.com/hubfs/Website/Privacy-Notice-OPLK.pdf?hsLang=es","2026-09-17 12:26:57"
"https://www.ciudadmayakoba.com/hubfs/Website/Privacy-Notice-NTCA.pdf?hsLang=es","application/pdf","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","all","","","","","","","","206591","206591","206591","30.617","","0","","","","","0.000","6","2","","1","1","0","0.900","0","0","0","0","0","0","","","","","","0.876","Wed, 25 Mar 2026 01:14:48 GMT","","","","","1.1","","","","","","https://www.ciudadmayakoba.com/hubfs/Website/Privacy-Notice-NTCA.pdf?hsLang=es","2026-09-17 12:27:28"
"https://www.ciudadmayakoba.com/hubfs/Website/Privacy-Notice-TRAM.pdf?hsLang=es","application/pdf","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","all","","","","","","","","206987","206987","206987","30.675","","0","","","","","0.000","6","2","","1","1","0","0.900","0","0","0","0","0","0","","","","","","0.799","Wed, 25 Mar 2026 01:14:48 GMT","","","","","1.1","","","","","","https://www.ciudadmayakoba.com/hubfs/Website/Privacy-Notice-TRAM.pdf?hsLang=es","2026-09-17 12:27:28"
